,Rent_Date,STA_LOC,Rent_Count,Yr_Mth,JIJACE_NM,ACC_CNT
216,2018-09-01,성북구,62873.0,2018-09-01 00:00:00,성북구,6.0
217,2018-09-01,송파구,84968.0,2018-09-01 00:00:00,송파구,17.0
218,2018-09-01,양천구,55747.0,2018-09-01 00:00:00,양천구,3.0
219,2018-09-01,영등포구,50048.0,2018-09-01 00:00:00,영등포구,26.0
220,2018-09-01,용산구,35987.0,2018-09-01 00:00:00,용산구,2.0
221,2018-09-01,은평구,38415.0,2018-09-01 00:00:00,은평구,10.0
222,2018-09-01,종로구,77643.0,2018-09-01 00:00:00,종로구,3.0
223,2018-09-01,중구,61638.0,2018-09-01 00:00:00,중구,1.0
224,2018-09-01,중랑구,34610.0,2018-09-01 00:00:00,중랑구,11.0
225,2018-10-01,강남구,54780.0,2018-10-01 00:00:00,강남구,3.0
226,2018-10-01,강동구,49952.0,2018-10-01 00:00:00,강동구,7.0
227,2018-10-01,강북구,43940.0,2018-10-01 00:00:00,강북구,6.0
228,2018-10-01,강서구,96488.0,2018-10-01 00:00:00,강서구,7.0
229,2018-10-01,관악구,35737.0,2018-10-01 00:00:00,관악구,4.0
230,2018-10-01,광진구,50579.0,2018-10-01 00:00:00,광진구,9.0
231,2018-10-01,구로구,73188.0,2018-10-01 00:00:00,구로구,7.0
232,2018-10-01,금천구,42391.0,2018-10-01 00:00:00,금천구,2.0
233,2018-10-01,노원구,73301.0,2018-10-01 00:00:00,노원구,10.0
234,2018-10-01,도봉구,49670.0,2018-10-01 00:00:00,도봉구,4.0
235,2018-10-01,동대문구,34867.0,2018-10-01 00:00:00,동대문구,8.0
236,2018-10-01,동작구,22136.0,2018-10-01 00:00:00,동작구,9.0
237,2018-10-01,마포구,53449.0,2018-10-01 00:00:00,마포구,5.0
238,2018-10-01,서대문구,77465.0,2018-10-01 00:00:00,서대문구,1.0
239,2018-10-01,서초구,84091.0,2018-10-01 00:00:00,서초구,4.0
240,2018-10-01,성동구,43680.0,2018-10-01 00:00:00,성동구,6.0
241,2018-10-01,성북구,58165.0,2018-10-01 00:00:00,성북구,2.0
242,2018-10-01,송파구,84221.0,2018-10-01 00:00:00,송파구,19.0
243,2018-10-01,양천구,53761.0,2018-10-01 00:00:00,양천구,6.0
244,2018-10-01,영등포구,50649.0,2018-10-01 00:00:00,영등포구,18.0
245,2018-10-01,용산구,38985.0,0,0,0.0
246,2018-10-01,은평구,37352.0,2018-10-01 00:00:00,은평구,2.0
247,2018-10-01,종로구,77822.0,2018-10-01 00:00:00,종로구,3.0
248,2018-10-01,중구,58017.0,2018-10-01 00:00:00,중구,1.0
249,2018-10-01,중랑구,35271.0,2018-10-01 00:00:00,중랑구,11.0
250,2018-11-01,강남구,39404.0,2018-11-01 00:00:00,강남구,4.0
251,2018-11-01,강동구,30726.0,2018-11-01 00:00:00,강동구,8.0
252,2018-11-01,강북구,28595.0,2018-11-01 00:00:00,강북구,3.0
253,2018-11-01,강서구,63497.0,2018-11-01 00:00:00,강서구,6.0
254,2018-11-01,관악구,23261.0,2018-11-01 00:00:00,관악구,3.0
255,2018-11-01,광진구,33456.0,2018-11-01 00:00:00,광진구,8.0
256,2018-11-01,구로구,49440.0,2018-11-01 00:00:00,구로구,3.0
257,2018-11-01,금천구,29926.0,2018-11-01 00:00:00,금천구,1.0
258,2018-11-01,노원구,48844.0,2018-11-01 00:00:00,노원구,5.0
259,2018-11-01,도봉구,34487.0,2018-11-01 00:00:00,도봉구,4.0
260,2018-11-01,동대문구,25521.0,2018-11-01 00:00:00,동대문구,7.0
261,2018-11-01,동작구,15900.0,2018-11-01 00:00:00,동작구,3.0
262,2018-11-01,마포구,34545.0,2018-11-01 00:00:00,마포구,7.0
263,2018-11-01,서대문구,49562.0,0,0,0.0
264,2018-11-01,서초구,54144.0,2018-11-01 00:00:00,서초구,4.0
